time,eating,drinking,coughing,talking,throat_clearing,others
2024-08-14 16:58,0,0,0,31,5,5
2024-08-14 16:59,0,0,0,10,3,27
2024-08-14 20:46,2,0,0,11,3,13
2024-08-14 20:47,1,0,0,6,3,31
2024-08-14 20:48,0,0,0,0,0,24
2024-08-14 20:50,0,0,0,3,1,22
2024-08-14 20:51,0,0,0,7,2,15
2024-08-14 20:52,0,0,0,5,1,32
2024-08-14 20:53,0,0,0,4,6,13
2024-08-14 20:54,0,0,0,8,4,16
2024-08-14 22:25,0,1,0,0,1,29
2024-08-14 22:26,0,0,0,0,0,23
2024-08-14 22:45,1,0,0,1,7,31
2024-08-14 22:46,0,0,1,0,0,30
2024-08-14 22:47,0,0,4,1,4,8
2024-08-15 09:44,0,1,2,2,1,24
2024-08-15 09:45,0,0,0,4,3,15
2024-08-15 09:47,0,0,1,3,1,6
2024-08-15 09:48,2,0,0,0,3,15
2024-08-15 09:49,0,0,2,1,4,15
2024-08-15 09:52,0,1,2,2,1,13
2024-08-15 09:53,0,0,0,0,0,1
2024-08-15 09:54,0,0,0,1,1,13
2024-08-15 10:01,0,0,0,0,2,3
2024-08-15 10:08,0,0,0,0,0,3
2024-08-15 10:11,0,0,1,1,0,4
2024-08-15 10:12,0,0,0,3,6,13
2024-08-15 10:13,0,0,0,0,0,2
2024-08-15 10:14,1,0,0,0,2,13
2024-08-15 10:24,0,0,0,3,0,12
2024-08-15 10:32,0,0,0,0,0,15
2024-08-15 10:33,0,0,0,0,0,35
2024-08-15 11:42,1,0,0,1,0,1
2024-08-15 11:45,0,0,0,0,0,1
2024-08-15 20:58,0,0,0,9,3,4
2024-08-15 20:59,0,0,0,13,10,19
2024-08-15 21:00,0,0,0,2,4,9
2024-08-20 18:13,0,0,0,2,4,9
2024-08-20 18:14,0,0,0,0,0,0
2024-08-20 18:15,0,0,0,2,4,9
2024-08-20 18:16,0,0,0,2,4,9
2024-08-20 18:17,0,0,0,2,4,9
2024-08-20 18:18,0,0,0,0,0,0
2024-08-20 18:19,0,0,0,0,0,0
2024-08-20 18:40,0,2,0,0,0,1
2024-08-21 10:41,5,0,0,0,0,1
2024-08-21 10:42,6,0,0,0,0,1
2024-08-21 10:43,2,0,0,0,0,1
2024-08-21 10:44,0,0,0,0,0,1
2024-08-21 10:45,0,0,0,0,0,1
2024-08-21 10:46,0,0,0,0,0,1
2024-08-21 10:47,0,0,0,0,0,1
2024-08-21 10:48,0,0,0,4,0,1
2024-08-21 10:49,0,0,0,0,0,1
2024-08-21 10:50,0,0,0,0,0,1
2024-08-21 10:51,0,0,0,0,0,1
2024-08-21 10:52,0,0,0,0,0,1
2024-08-21 10:53,0,0,0,0,0,1
2024-08-21 10:54,0,0,0,0,0,1
2024-08-21 10:55,0,0,0,0,0,1
2024-08-21 10:56,0,0,0,0,0,1
2024-08-28 10:54,1,0,0,1,1,14
2024-08-28 10:55,0,0,0,0,0,37
2024-08-28 10:56,0,0,0,1,2,26
2024-08-28 10:57,0,1,0,2,0,21
2024-09-01 15:20,1,0,1,1,2,6
2024-09-01 15:21,0,0,2,1,2,30
2024-09-01 15:51,0,0,1,1,3,8
2024-09-01 16:15,1,0,1,0,1,13
2024-09-01 16:16,0,1,0,12,2,28
2024-09-01 16:17,0,0,0,0,0,43
2024-09-01 16:18,0,0,0,0,0,13
2024-09-01 16:20,0,0,0,1,0,2
2024-09-01 16:21,0,0,0,10,3,29
2024-09-01 16:22,0,0,0,0,0,2
2024-09-01 17:05,1,0,1,9,5,4
2024-09-01 17:09,0,0,0,0,0,1
2024-09-02 09:29,7,2,0,10,2,23
2024-09-02 09:30,5,1,0,2,0,37
2024-09-02 09:31,7,1,0,2,2,16
2024-09-02 09:43,2,1,0,2,0,6
2024-09-02 09:44,3,3,0,1,1,30
2024-09-02 09:45,0,0,0,0,0,41
2024-09-02 09:46,0,0,0,0,0,40
2024-09-02 09:47,0,0,0,0,0,40
2024-09-02 09:48,1,0,0,0,0,27
2024-09-02 09:51,1,1,0,4,3,9
2024-09-02 09:52,3,0,1,2,4,33
2024-09-02 09:53,0,0,0,0,0,41
2024-09-02 09:54,0,0,0,0,0,42
2024-09-02 09:55,0,0,0,0,0,29
2024-09-02 10:09,0,0,2,8,9,23
2024-09-02 10:10,0,0,0,0,0,41
2024-09-02 10:11,0,0,0,3,2,38
2024-09-02 10:12,2,0,0,8,5,28
2024-09-02 10:13,0,0,0,0,0,39
2024-09-02 10:14,1,0,1,6,3,20
2024-09-02 14:34,0,0,0,0,1,6
2024-09-02 14:35,1,0,2,3,3,35
2024-09-02 14:36,0,0,1,0,0,25
2024-09-02 15:03,2,0,0,7,6,10
2024-09-02 15:04,2,0,3,1,7,28
2024-09-02 15:15,0,1,1,0,3,31
2024-09-02 15:16,0,1,3,1,3,33
